Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-04-20,9.100000381469728,9.449999809265137,8.0,8.899999618530273,8.899999618530273,134271,0.0,0.0
2026-04-21,9.199999809265137,9.25,8.800000190734863,9.149999618530272,9.149999618530272,47192,0.0,0.0
2026-04-22,9.100000381469728,9.199999809265137,8.899999618530273,9.050000190734863,9.050000190734863,77133,0.0,0.0
2026-04-23,9.100000381469728,9.5,8.5,9.0,9.0,456300,0.0,0.0
2026-04-24,9.300000190734863,9.899999618530272,9.100000381469728,9.550000190734863,9.550000190734863,319917,0.0,0.0
2026-04-27,9.649999618530272,9.899999618530272,9.5,9.600000381469728,9.600000381469728,143302,0.0,0.0
2026-04-28,9.850000381469728,9.850000381469728,9.5,9.5,9.5,97873,0.0,0.0
2026-04-29,9.399999618530272,9.75,9.300000190734863,9.350000381469728,9.350000381469728,46694,0.0,0.0
2026-04-30,9.350000381469728,9.550000190734863,9.199999809265137,9.199999809265137,9.199999809265137,59981,0.0,0.0
2026-05-04,9.640000343322754,9.640000343322754,9.029999732971191,9.09000015258789,9.09000015258789,205910,0.0,0.0
2026-05-05,9.09000015258789,9.380000114440918,9.020000457763672,9.18000030517578,9.18000030517578,47929,0.0,0.0
2026-05-06,9.1899995803833,9.329999923706056,9.1899995803833,9.270000457763672,9.270000457763672,64015,0.0,0.0
2026-05-07,9.449999809265137,9.449999809265137,9.119999885559082,9.239999771118164,9.239999771118164,210699,0.0,0.0
2026-05-08,9.399999618530272,9.399999618530272,9.149999618530272,9.229999542236328,9.229999542236328,161129,0.0,0.0
2026-05-11,9.4399995803833,9.4399995803833,8.779999732971191,9.020000457763672,9.020000457763672,128722,0.0,0.0
2026-05-12,9.020000457763672,9.020000457763672,8.800000190734863,8.890000343322754,8.890000343322754,118100,0.0,0.0
2026-05-13,8.859999656677246,9.149999618530272,8.800000190734863,8.850000381469727,8.850000381469727,130618,0.0,0.0
2026-05-14,8.850000381469727,9.300000190734863,8.760000228881836,8.789999961853027,8.789999961853027,118274,0.0,0.0
2026-05-15,8.789999961853027,8.84000015258789,8.0,8.529999732971191,8.529999732971191,334980,0.0,0.0
2026-05-18,8.619999885559082,8.619999885559082,8.199999809265137,8.479999542236328,8.479999542236328,144255,0.0,0.0
2026-05-19,8.479999542236328,8.630000114440918,8.300000190734863,8.380000114440918,8.380000114440918,115913,0.0,0.0
2026-05-20,8.279999732971191,8.6899995803833,8.279999732971191,8.369999885559082,8.369999885559082,115601,0.0,0.0
2026-05-21,8.369999885559082,8.640000343322754,8.369999885559082,8.4399995803833,8.4399995803833,51497,0.0,0.0
2026-05-22,8.3100004196167,8.59000015258789,8.199999809265137,8.34000015258789,8.34000015258789,78017,0.0,0.0
2026-05-25,8.380000114440918,8.649999618530273,8.3100004196167,8.34000015258789,8.34000015258789,96823,0.0,0.0
2026-05-26,8.34000015258789,8.630000114440918,8.300000190734863,8.479999542236328,8.479999542236328,115238,0.0,0.0
2026-05-27,8.649999618530273,8.6899995803833,8.260000228881836,8.390000343322754,8.390000343322754,177368,0.0,0.0
2026-05-29,8.380000114440918,8.649999618530273,8.199999809265137,8.5,8.5,123876,0.0,0.0
2026-06-01,8.6899995803833,8.899999618530273,8.399999618530273,8.460000038146973,8.460000038146973,117912,0.0,0.0
2026-06-02,8.649999618530273,8.75,8.25,8.59000015258789,8.59000015258789,135708,0.0,0.0
2026-06-03,8.59000015258789,8.800000190734863,8.350000381469727,8.470000267028809,8.470000267028809,112559,0.0,0.0
2026-06-04,8.640000343322754,8.640000343322754,8.369999885559082,8.489999771118164,8.489999771118164,58314,0.0,0.0
2026-06-05,8.539999961853027,8.550000190734863,8.3100004196167,8.329999923706055,8.329999923706055,113211,0.0,0.0
2026-06-08,8.329999923706055,8.600000381469727,8.300000190734863,8.3100004196167,8.3100004196167,92598,0.0,0.0
2026-06-09,8.199999809265137,8.630000114440918,8.199999809265137,8.489999771118164,8.489999771118164,215610,0.0,0.0
2026-06-10,8.329999923706055,9.420000076293944,8.329999923706055,8.75,8.75,1161616,0.0,0.0
2026-06-11,8.989999771118164,9.289999961853027,8.579999923706055,8.6899995803833,8.6899995803833,209405,0.0,0.0
2026-06-12,8.6899995803833,8.970000267028809,8.5,8.649999618530273,8.649999618530273,140177,0.0,0.0
2026-06-15,8.699999809265137,9.5,8.699999809265137,9.350000381469728,9.350000381469728,658324,0.0,0.0
2026-06-16,9.68000030517578,9.699999809265137,8.399999618530273,8.880000114440918,8.880000114440918,394684,0.0,0.0
2026-06-17,8.619999885559082,9.350000381469728,8.619999885559082,8.949999809265137,8.949999809265137,182291,0.0,0.0
2026-06-18,8.970000267028809,9.279999732971191,8.710000038146973,8.819999694824219,8.819999694824219,136846,0.0,0.0
2026-06-19,8.819999694824219,9.130000114440918,8.770000457763672,8.880000114440918,8.880000114440918,98997,0.0,0.0
2026-06-22,8.789999961853027,9.18000030517578,8.59000015258789,9.020000457763672,9.020000457763672,119370,0.0,0.0
2026-06-23,9.25,9.25,8.729999542236328,8.880000114440918,8.880000114440918,153080,0.0,0.0
2026-06-24,8.619999885559082,8.899999618530273,8.579999923706055,8.680000305175781,8.680000305175781,152860,0.0,0.0
2026-06-25,8.989999771118164,8.989999771118164,8.550000190734863,8.59000015258789,8.59000015258789,125598,0.0,0.0
2026-06-29,8.619999885559082,8.6899995803833,8.470000267028809,8.529999732971191,8.529999732971191,62365,0.0,0.0
2026-06-30,8.779999732971191,8.90999984741211,8.5,8.5600004196167,8.5600004196167,188231,0.0,0.0
2026-07-01,8.8100004196167,8.84000015258789,8.579999923706055,8.640000343322754,8.640000343322754,146305,0.0,0.0
